Id,Url,URL_Length,Having_AT,is_IP,Alexa_Rank,No_of_SubDomain,Prefix_Suffix,url_anchor,Links_in_Tags,URL_Redirect,SSL_FinalState,Sfh,Mailto,Links_pointing,Domain_Age,Domain_Registration_Age,Phishy
5898554,http://www.posb-dbs-guard.org/50a58fd705541ef12663968a3e07f617/login/?,70,No,No,2147483647,1,Yes,-1,-1,FALSE,-1,-1,-1,-1,36,328,Yes
5898364,https://asb-authentication.alwaysdata.net/index.htm,51,No,No,2147483647,1,No,-1,-1,FALSE,-1,-1,-1,-1,4639,108,Yes
5898295,http://www.serpymanco.com,25,No,No,18859263,1,No,-1,-1,FALSE,-1,-1,-1,-1,0,0,Yes
5898277,http://www.ockdesigns.com/.joice/aliyun/login.php?l=_JeHFUq_VJOXK0QWHtoGYDw1774256418&amp;fid.13InboxLight.aspxn.1774256418&amp;fid.125289964252813InboxLight99642_Product-userid&amp;userid=admin@yujing-group.com.cnrn,216,Yes,No,18449027,1,No,100,50,FALSE,-1,0,1,1,-1,-1,Yes
5898242,https://secure-pay-pal.prime-service-center.info/,49,No,No,2147483647,1,Yes,-1,-1,FALSE,-1,-1,-1,-1,48,316,Yes
5898237,https://www.inspiringspokenenglish.com/ID/update/PayPaI/User/1af1ed/en/,71,No,No,6075862,1,No,-1,100,FALSE,0,1,1,-1,297,67,Yes
5898231,https://notification-control.blogspot.com/?m=1,46,No,No,2147483647,1,No,100,0,TRUE,0,1,1,1,-1,-1,Yes
5898230,http://bextchange.net.ru/,25,No,No,2147483647,1,No,-1,-1,FALSE,-1,-1,-1,-1,7888,167,Yes
5898128,http://upschools.net/wordpress/wp-content/themes/twentyseventeen/readme.htm,75,No,No,17941749,1,No,-1,100,FALSE,-1,1,1,-1,1027,67,Yes
5898081,http://www.niceobmen.pro,24,No,No,2147483647,1,No,-1,-1,FALSE,-1,-1,-1,-1,41,323,Yes
5898082,https://www.niceobmen.pro/,26,No,No,2147483647,1,No,-1,-1,FALSE,-1,-1,-1,-1,41,323,Yes
5898075,https://youobmen.pro/,21,No,No,16057765,1,No,-1,-1,FALSE,-1,-1,-1,-1,40,324,Yes
5898074,http://youobmen.pro,19,No,No,16057765,1,No,-1,-1,FALSE,-1,-1,-1,-1,40,324,Yes
5898063,https://strawrealestate.com/67/2PIpzHRYBzwHjk.html,50,No,No,2147483647,1,No,-1,-1,FALSE,-1,-1,-1,-1,548,181,Yes
5898062,https://strawrealestate.com/67/gFcyajyMEEB.htm,46,No,No,2147483647,1,No,-1,-1,FALSE,-1,-1,-1,-1,548,181,Yes
5898060,http://ni2245005-2.web19.nitrado.hosting/desd/ING/ingdirect.es/e25cb/sms.html,77,No,No,2159495,2,No,-1,100,FALSE,-1,1,1,-1,-1,-1,Yes
5897984,http://wwwbcpzonasegurasbeta.viebqc.com/,40,No,No,12328871,1,No,-1,-1,FALSE,-1,-1,-1,-1,36,328,Yes
5897978,http://niagamall.com/bankofamerica.com.login.update/update.html,63,No,No,2147483647,1,No,47,87,FALSE,-1,1,1,1,81,283,Yes
5897936,http://taiy.tk/dam1/,20,No,No,2147483647,1,No,-1,100,FALSE,-1,1,1,-1,0,0,Yes
5897918,http://civittascom.hostkda.com/,31,No,No,110929,1,No,-1,100,FALSE,-1,1,1,-1,2236,319,Yes
5897905,http://go2l.ink/blackboard,26,No,No,4133571,1,No,-1,-1,FALSE,-1,-1,-1,-1,1582,244,Yes
5897865,http://ema.sa/aaa/,18,No,No,2147483647,1,No,-1,100,FALSE,-1,1,1,-1,0,0,Yes
5897805,http://cvivabcp.ga,18,No,No,2147483647,1,No,-1,-1,FALSE,-1,-1,-1,-1,0,0,Yes
5897804,http://bcpzonasegvra.cvivabcp.ga,32,No,No,2147483647,1,No,-1,-1,FALSE,-1,-1,-1,-1,0,0,Yes
5897803,http://bcpzonasegvra.cvivabcp.ga/iniciar-sesion,47,No,No,2147483647,1,No,-1,-1,FALSE,-1,-1,-1,-1,0,0,Yes
5897795,https://wanbuffer.com/cash/p/m/home/pps/log-in/customer_center/customer-IDPP00C167/myaccount/signin/?country.x=NL&amp;locale.x=en_NL,132,No,No,2147483647,1,No,-1,100,FALSE,0,1,1,-1,1015,79,Yes
5897744,http://kompot-free6.xyz/click.php?key=jeaonblcp6khwbccy24c,58,No,No,2147483647,1,Yes,100,0,FALSE,-1,0,1,0,-1,-1,Yes
5897724,https://urkcrnrs.co.uk/absa/ib.absa.x/passcode_verification.php,63,No,No,2147483647,1,No,-1,-1,FALSE,-1,-1,-1,-1,43,321,Yes
5897620,http://bestchanhe.org.ru/,25,No,No,2147483647,1,No,-1,-1,FALSE,-1,-1,-1,-1,7888,167,Yes
5897563,http://datacrediservios.com,27,No,No,2147483647,1,No,100,100,FALSE,-1,1,1,0,41,323,Yes
